Rep,Config,Mode,Case,Expected output class,Output class,Correct?,Reason,Reason correct?,Factual atoms supported?,Retrieved docs,Cited docs/pages,Citation doc miss count,Unsupported citation count,Wrong-page citation count,Safety,Prompt/Input tokens,Completion/Output tokens,Total tokens,Retries,Latency ms,Retrieval latency ms,Generation latency ms,Audit ID,Generator-visible context hash,Error
1,C0,C0_VECTOR_ONLY,S1-Q1,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,77809285-cd77-5486-8c4e-0cd9dfc5cdd0;9c193693-5005-5272-815f-f251ce8fc8ae,77809285-cd77-5486-8c4e-0cd9dfc5cdd0:1;9c193693-5005-5272-815f-f251ce8fc8ae:1,0,1,0,0,535,162,697,0,5530.4707,182.5294,2360.1573,d5656265-2117-5649-8ecc-21081a4a8eca,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,
1,C0,C0_VECTOR_ONLY,S1-Q2,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,77809285-cd77-5486-8c4e-0cd9dfc5cdd0;9c193693-5005-5272-815f-f251ce8fc8ae,9c193693-5005-5272-815f-f251ce8fc8ae:1,0,0,0,0,529,12,541,0,1957.865,217.6424,853.1615,a6585163-bc3b-52d6-bb0c-2787d77d2a65,d4b8af7b2a43fa36dc52f51de11e9773767e6d25f49c8cf49989b8cf76d28595,
1,C0,C0_VECTOR_ONLY,S1-Q3,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,77809285-cd77-5486-8c4e-0cd9dfc5cdd0;9c193693-5005-5272-815f-f251ce8fc8ae,77809285-cd77-5486-8c4e-0cd9dfc5cdd0:1;9c193693-5005-5272-815f-f251ce8fc8ae:1,0,1,0,0,528,14,542,0,2280.8708,218.096,983.0641,b668e834-24a7-5bde-b812-c3da9c8319e5,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,
1,C0,C0_VECTOR_ONLY,S1-Q4,REFUSE_INSUFFICIENT_EVIDENCE,FULL_ANSWER,False,supported,False,True,77809285-cd77-5486-8c4e-0cd9dfc5cdd0;9c193693-5005-5272-815f-f251ce8fc8ae,,0,0,0,0,528,16,544,0,1629.0361,224.1387,770.9934,1787f1a0-2d9e-5adc-a54b-2d91d4446fb7,2cf4fec8208c73b6a6f7ab0028af51cf56d91d1e8fdff1ed56985b48ac9a9435,
1,C0,C0_VECTOR_ONLY,S1-Q5,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,77809285-cd77-5486-8c4e-0cd9dfc5cdd0;9c193693-5005-5272-815f-f251ce8fc8ae,9c193693-5005-5272-815f-f251ce8fc8ae:1,0,0,0,0,531,12,543,0,1745.1967,219.6945,882.2991,8b1c3576-0f00-563c-8da1-cc73c88d9bf9,d4b8af7b2a43fa36dc52f51de11e9773767e6d25f49c8cf49989b8cf76d28595,
1,C0,C0_VECTOR_ONLY,S1-Q6,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,77809285-cd77-5486-8c4e-0cd9dfc5cdd0;9c193693-5005-5272-815f-f251ce8fc8ae,9c193693-5005-5272-815f-f251ce8fc8ae:1,1,0,0,0,535,42,577,0,1765.0959,214.7158,888.7482,059992b9-a594-5169-8586-48dab1094a24,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,
1,C0,C0_VECTOR_ONLY,S2-Q1,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,15aff4e8-ba87-5102-bea3-7531558c2e5c;402e9da2-1654-5751-b970-4f3e35488c52;746bfb0c-38e0-5f7e-958b-34dd1a481974;79523654-1146-564a-9dba-a62d61db335e;f1025ca4-e18c-59ae-b025-3cb12ee33522,15aff4e8-ba87-5102-bea3-7531558c2e5c:1,0,0,0,0,1326,31,1357,0,2634.3052,392.9927,760.7653,f27f7243-6f66-5d9a-aa98-9d83c809aabe,42f57aa5fc909c512d126cb86a5502377e1fdb1ac4e04980ae31fa54c9e62fce,
1,C0,C0_VECTOR_ONLY,S2-Q2,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,15aff4e8-ba87-5102-bea3-7531558c2e5c;402e9da2-1654-5751-b970-4f3e35488c52;746bfb0c-38e0-5f7e-958b-34dd1a481974;79523654-1146-564a-9dba-a62d61db335e;f1025ca4-e18c-59ae-b025-3cb12ee33522,15aff4e8-ba87-5102-bea3-7531558c2e5c:1;402e9da2-1654-5751-b970-4f3e35488c52:6;79523654-1146-564a-9dba-a62d61db335e:3,0,1,1,0,1279,154,1433,0,4608.249,252.4632,1923.2426,7908e28b-0cf0-50d8-8a74-a240bffb2b12,82b842dc1d35042c641a1fe13c29d5c803579ca22140c83c2b1fb365ed985c36,
1,C0,C0_VECTOR_ONLY,S2-Q3,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,15aff4e8-ba87-5102-bea3-7531558c2e5c;402e9da2-1654-5751-b970-4f3e35488c52;746bfb0c-38e0-5f7e-958b-34dd1a481974;79523654-1146-564a-9dba-a62d61db335e;f1025ca4-e18c-59ae-b025-3cb12ee33522,f1025ca4-e18c-59ae-b025-3cb12ee33522:17,0,0,0,0,1220,39,1259,0,4055.4057,243.6597,805.8608,1e5582f2-e66d-5b20-a976-ed98ba50a8f7,4175349edb87c3b460acc9399325fcd2bde4b70ba20ddf50458800a6f00d8565,
1,C0,C0_VECTOR_ONLY,S2-Q4,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,15aff4e8-ba87-5102-bea3-7531558c2e5c;402e9da2-1654-5751-b970-4f3e35488c52;746bfb0c-38e0-5f7e-958b-34dd1a481974;79523654-1146-564a-9dba-a62d61db335e;f1025ca4-e18c-59ae-b025-3cb12ee33522,f1025ca4-e18c-59ae-b025-3cb12ee33522:10,1,1,0,0,1316,59,1375,0,2170.9276,247.2799,1232.696,77ad0e9d-519b-5933-a206-219c59aea9dd,a09d96ea3295af81b2d8779c73317d97a27bd4fdfae02e4a2184309c0d938c19,
1,C0,C0_VECTOR_ONLY,S2-Q5,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,15aff4e8-ba87-5102-bea3-7531558c2e5c;402e9da2-1654-5751-b970-4f3e35488c52;746bfb0c-38e0-5f7e-958b-34dd1a481974;79523654-1146-564a-9dba-a62d61db335e;f1025ca4-e18c-59ae-b025-3cb12ee33522,402e9da2-1654-5751-b970-4f3e35488c52:2;79523654-1146-564a-9dba-a62d61db335e:1,0,0,0,0,1353,157,1510,0,4790.8709,285.8062,1761.0204,1672965c-fff6-59c5-ad74-e7d4949e1aa5,f4003a0f46bc73db64b32156a0c8c88f5edfeebc2e9b0145332500d2dc841b5c,
1,C0,C0_VECTOR_ONLY,S2-Q6,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,15aff4e8-ba87-5102-bea3-7531558c2e5c;402e9da2-1654-5751-b970-4f3e35488c52;746bfb0c-38e0-5f7e-958b-34dd1a481974;79523654-1146-564a-9dba-a62d61db335e;f1025ca4-e18c-59ae-b025-3cb12ee33522,f1025ca4-e18c-59ae-b025-3cb12ee33522:17,0,0,0,0,1323,92,1415,0,2218.9506,285.4784,1203.6215,262d5431-1df8-5666-9955-05915974a772,92857ebf19335068a7df171c2054a2ae2ba6b4b5c317053b81845c79a9cf00b8,
1,C1,C1_VECTOR_ROUTING,S1-Q1,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,77809285-cd77-5486-8c4e-0cd9dfc5cdd0,77809285-cd77-5486-8c4e-0cd9dfc5cdd0:1,0,0,0,0,366,162,528,0,6062.8707,161.6203,2335.1127,39ee4349-a17f-524f-8b72-c2d64b34277b,4623424a0697d69f086884807a29874398d890700af0aab36c8bc46c09b3a459,
1,C1,C1_VECTOR_ROUTING,S1-Q2,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,77809285-cd77-5486-8c4e-0cd9dfc5cdd0;9c193693-5005-5272-815f-f251ce8fc8ae,9c193693-5005-5272-815f-f251ce8fc8ae:1,0,0,0,0,529,12,541,0,1428.612,156.0442,704.7192,32a505d1-d193-5470-8ad4-e46628e8edda,d4b8af7b2a43fa36dc52f51de11e9773767e6d25f49c8cf49989b8cf76d28595,
1,C1,C1_VECTOR_ROUTING,S1-Q3,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,77809285-cd77-5486-8c4e-0cd9dfc5cdd0,77809285-cd77-5486-8c4e-0cd9dfc5cdd0:1,0,0,0,0,359,14,373,0,1431.0261,173.0567,692.1346,cdbc78c7-7b4e-5b78-9a41-a47ad68663bf,4623424a0697d69f086884807a29874398d890700af0aab36c8bc46c09b3a459,
1,C1,C1_VECTOR_ROUTING,S1-Q4,REFUSE_INSUFFICIENT_EVIDENCE,FULL_ANSWER,False,supported,False,True,77809285-cd77-5486-8c4e-0cd9dfc5cdd0;9c193693-5005-5272-815f-f251ce8fc8ae,,0,0,0,0,528,16,544,0,1384.2255,144.5427,751.7246,c5fb4c36-5148-5e2f-8e01-f802548e50f0,2cf4fec8208c73b6a6f7ab0028af51cf56d91d1e8fdff1ed56985b48ac9a9435,
1,C1,C1_VECTOR_ROUTING,S1-Q5,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,77809285-cd77-5486-8c4e-0cd9dfc5cdd0;9c193693-5005-5272-815f-f251ce8fc8ae,9c193693-5005-5272-815f-f251ce8fc8ae:1,0,0,0,0,531,12,543,0,1457.3101,156.1197,684.4635,e970911a-1998-550a-8f50-2a1653e76593,d4b8af7b2a43fa36dc52f51de11e9773767e6d25f49c8cf49989b8cf76d28595,
1,C1,C1_VECTOR_ROUTING,S1-Q6,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,77809285-cd77-5486-8c4e-0cd9dfc5cdd0;9c193693-5005-5272-815f-f251ce8fc8ae,9c193693-5005-5272-815f-f251ce8fc8ae:1,1,0,0,0,535,42,577,0,1989.5151,159.6963,1150.1356,338fc916-7720-5f4c-8c34-259681e5668b,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,
1,C1,C1_VECTOR_ROUTING,S2-Q1,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,15aff4e8-ba87-5102-bea3-7531558c2e5c,15aff4e8-ba87-5102-bea3-7531558c2e5c:1,0,0,0,0,301,28,329,0,2172.8027,213.9389,729.2811,1140ae7e-773e-5e9d-9ed0-eb4394b4e9c1,9aa6e26eed94f3ae512e89219bc7ba80b500430cc1c0208f887848beedf5f54a,
1,C1,C1_VECTOR_ROUTING,S2-Q2,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,15aff4e8-ba87-5102-bea3-7531558c2e5c;402e9da2-1654-5751-b970-4f3e35488c52,402e9da2-1654-5751-b970-4f3e35488c52:2,1,0,0,0,1290,79,1369,0,4074.6741,165.4311,1667.2291,77953961-7f7b-5227-8e19-46196b9fe6ff,673b72adf75082f630b6dbb3a3508773999bc96874fbe35bb1cb9fb3df4b8d88,
1,C1,C1_VECTOR_ROUTING,S2-Q3,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,f1025ca4-e18c-59ae-b025-3cb12ee33522,f1025ca4-e18c-59ae-b025-3cb12ee33522:17,0,0,0,0,1075,78,1153,0,5024.1144,205.9271,1310.7242,2f58ed46-2886-565d-8183-bde21c5a2ae0,ce2ff73879392aa431ffc897cc9f615785463cafbda89d241d16fa9793a2fe51,
1,C1,C1_VECTOR_ROUTING,S2-Q4,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,f1025ca4-e18c-59ae-b025-3cb12ee33522,f1025ca4-e18c-59ae-b025-3cb12ee33522:10,1,1,0,0,1247,45,1292,0,1682.2651,203.9441,787.0809,b290e88d-0f8a-51c8-b851-3b7044833e0b,46881122d1afcef338a84a04eb8d6001d1efa41ebc91412f21572e1e1302443d,
1,C1,C1_VECTOR_ROUTING,S2-Q5,FULL_ANSWER,FULL_ANSWER,True,supported,True,True,402e9da2-1654-5751-b970-4f3e35488c52;79523654-1146-564a-9dba-a62d61db335e,402e9da2-1654-5751-b970-4f3e35488c52:2;79523654-1146-564a-9dba-a62d61db335e:1,0,0,0,0,1277,154,1431,0,5060.0047,174.3395,2019.5931,1f0b00fa-1e65-573f-ba48-80a43e5091bb,dd94a698e574ef9a4bbff27406da0e1fcf62f86ae738c9dd0936aeb975fd4b5e,
